,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
24,IST233,M001,37411,3.0,Intro to Computer Networking,S Bruce Boardman,12:45pm - 1:40pm,MW,Hall of Languages 207
25,IST233,M008,37437,3.0,Intro to Computer Networking,Jeffrey T Girard,5:00pm - 6:20pm,TuTh,Hinds Hall 010
26,IST233,M003,37448,3.0,LAB: Intro to Computer Networking,S Bruce Boardman,10:35am - 11:30am,F,Hinds Hall 027
27,IST233,M004,37449,3.0,LAB: Intro to Computer Networking,S Bruce Boardman,11:40am - 12:35pm,F,Hinds Hall 027
28,IST233,M005,37450,3.0,LAB: Intro to Computer Networking,S Bruce Boardman,12:45pm - 1:40pm,F,Hinds Hall 027
29,IST233,M006,37451,3.0,LAB: Intro to Computer Networking,S Bruce Boardman,1:50pm - 2:45pm,F,Hinds Hall 027
30,IST256,M001,37499,3.0,Appl.Prog.For Information Syst,Michael Fudge,3:45pm - 5:05pm,M,School of Management 007
31,IST256,M003,37537,3.0,Appl.Prog.For Information Syst,Angela Usha Ramnarine-Rieks,3:45pm - 5:05pm,W,CH101
32,IST256,M004,37538,3.0,Appl.Prog.For Information Syst,Angela Usha Ramnarine-Rieks,12:30pm - 1:50pm,Th,LINK200
33,IST256,M005,37539,3.0,Appl.Prog.For Information Syst,Wade Stringer,5:00pm - 6:20pm,Th,Hinds Hall 117
34,IST256,M006,37540,3.0,Appl.Prog.For Information Syst,Wade Stringer,9:30am - 10:50am,W,Hinds Hall 011
35,IST256,M007,37546,3.0,Appl.Prog.For Information Syst,Nick Lyga,11:00am - 12:20pm,Th,Hinds Hall 111
36,IST256,M008,37583,3.0,Appl.Prog.For Information Syst,Avinash Kadaji,8:00am - 9:20am,W,Hinds Hall 011
37,IST256,M009,37664,3.0,Appl.Prog.For Information Syst,Laurie A Ferger,3:45pm - 5:05pm,W,Hinds Hall 018
38,IST256,M002,42537,3.0,Appl.Prog.For Information Syst,Deborah L Nosky,12:45pm - 2:05pm,W,Hinds Hall 011
39,IST263,M001,37413,3.0,Intro to Front-End Web Dev,Christian A Kirkegaard,9:30am - 10:50am,TuTh,Hinds Hall 021
40,IST263,M002,37440,3.0,Intro to Front-End Web Dev,Christian A Kirkegaard,8:00am - 9:20am,TuTh,Hinds Hall 021
41,IST263,M005,37486,3.0,Intro to Front-End Web Dev,Avinash Kadaji,11:00am - 12:20pm,TuTh,Hinds Hall 117
42,IST300,M002,41802,3.0,Information Security Policy,James Enwright,6:45pm - 8:05pm,MW,Hinds Hall 013
